Organization,Country
International Rescue Committee (IRC),Democratic Republic of Congo
Jesuit Refugee Service,Democratic Republic of Congo
Lions Club International Foundation,Democratic Republic of Congo
Management Sciences for Health (MSH),Democratic Republic of Congo
Medical Care Development,Democratic Republic of Congo
Medical Emergency Relief International (Merlin),Democratic Republic of Congo
Mercy Corps,Democratic Republic of Congo
Operation USA,Democratic Republic of Congo
Outreach International,Democratic Republic of Congo
Pact,Democratic Republic of Congo
PATH,Democratic Republic of Congo
Pathfinder International,Democratic Republic of Congo
Planet Aid,Democratic Republic of Congo
Project C.U.R.E,Democratic Republic of Congo
ProLiteracy Worldwide,Democratic Republic of Congo
Refugees International,Democratic Republic of Congo
Resolve Uganda,Democratic Republic of Congo
Save the Children,Democratic Republic of Congo
Society for International Development (SID),Democratic Republic of Congo
Solidarity Center,Democratic Republic of Congo
Stop Hunger Now,Democratic Republic of Congo
The Enough Project,Democratic Republic of Congo
U.S. Committee for Refugees & Immigrants,Democratic Republic of Congo
United Methodist Committee on Relief,Democratic Republic of Congo
United Nations Foundation,Democratic Republic of Congo
USA for UNHCR,Democratic Republic of Congo
Winrock International,Democratic Republic of Congo
Women for Women International,Democratic Republic of Congo
World Connect,Democratic Republic of Congo
World Relief,Democratic Republic of Congo
World Vision,Democratic Republic of Congo
World Wildlife Fund (WWF),Democratic Republic of Congo
Adventist Development and Relief Agency International,Denmark
Baptist World Alliance,Denmark
Global Health Council,Denmark
Lions Club International Foundation,Denmark
United Nations Foundation,Denmark
World Society for the Protection of Animals,Denmark
American Red Cross International Services,Djibouti
GlobalGiving,Djibouti
Lions Club International Foundation,Djibouti
Project C.U.R.E,Djibouti
Solidarity Center,Djibouti
Heifer International,Azerbaijan
Campaign for Innocent Victims in Conflict,Afghanistan
Americas ReliefTeam,Dominica
Brother's Brother Foundation,Dominica
ChildFund International,Dominica
Food for the Poor (FFP),Dominica
Lions Club International Foundation,Dominica
CARE,Afghanistan
CARE,Angola
CARE,Armenia
International Center for Not-for-Profit Law,Azerbaijan
Pan American Health and Education Foundation (PAHEF),Dominica
PCI-Media Impact,Dominica
ActionAid International USA,Dominican Republic
Adventist Development and Relief Agency International,Dominican Republic
American Jewish World Service,Dominican Republic
AmeriCares,Dominican Republic
Americas ReliefTeam,Dominican Republic
Amigos de las Americas,Dominican Republic
Baptist World Alliance,Dominican Republic
Brother's Brother Foundation,Dominican Republic
CARE,Dominican Republic
Catholic Relief Services,Dominican Republic
CBM,Dominican Republic
Christian Reformed World Relief Committee,Dominican Republic
Church World Service,Dominican Republic
Counterpart International,Dominican Republic
Development Gateway,Dominican Republic
Direct Relief International,Dominican Republic
Episcopal Relief & Development,Dominican Republic
Food for the Poor (FFP),Dominican Republic
Giving Children Hope,Dominican Republic
Global Fund for Children,Dominican Republic
Global Health Council,Dominican Republic
Global Links,Dominican Republic
GlobalGiving,Dominican Republic
Heart to Heart International,Dominican Republic
International Youth Foundation,Dominican Republic
Jesuit Refugee Service,Dominican Republic
Jhpiego,Dominican Republic
Latter-day Saint Charities,Dominican Republic
Lions Club International Foundation,Dominican Republic
Management Sciences for Health (MSH),Dominican Republic
Operation Blessing International Relief and Development Corporation,Dominican Republic
Outreach International,Dominican Republic
Pact,Dominican Republic
Pan American Development Foundation,Dominican Republic
PATH,Dominican Republic
Perkins International,Dominican Republic
Physicians for Peace,Dominican Republic
Plan,Dominican Republic
Plant with Purpose,Dominican Republic
Project C.U.R.E,Dominican Republic
ProLiteracy Worldwide,Dominican Republic
Refugees International,Dominican Republic
Save the Children,Dominican Republic
Solidarity Center,Dominican Republic
Stop Hunger Now,Dominican Republic
Taiwan Buddhist Tzu Chi Foundation,Dominican Republic
World Connect,Dominican Republic
World Vision,Dominican Republic
ACDI/VOCA,Ecuador
Action Against Hunger | ACF International,Ecuador
ActionAid International USA,Ecuador
Adventist Development and Relief Agency International,Ecuador
American Red Cross International Services,Ecuador
AmeriCares,Ecuador
Americas ReliefTeam,Ecuador
Amigos de las Americas,Ecuador
Baptist World Alliance,Ecuador
Brother's Brother Foundation,Ecuador
CARE,Ecuador
Catholic Relief Services,Ecuador
CBM,Ecuador
ChildFund International,Ecuador
Christian Reformed World Relief Committee,Ecuador
Direct Relief International,Ecuador
International Relief & Development,Azerbaijan
Catholic Relief Services,Afghanistan
Catholic Relief Services,Albania
Catholic Relief Services,Angola
International Rescue Committee (IRC),Azerbaijan
Family Care International,Ecuador
Freedom from Hunger,Ecuador
Giving Children Hope,Ecuador
Global Fund for Children,Ecuador
Global Health Council,Ecuador
GlobalGiving,Ecuador
Heart to Heart International,Ecuador
Hebrew Immigrant Aid Society,Ecuador
Heifer International,Ecuador
International Center for Not-for-Profit Law,Ecuador
International Center for Research on Women (ICRW),Ecuador
International Foundation for Electoral Systems (IFES),Ecuador
International Youth Foundation,Ecuador
Jesuit Refugee Service,Ecuador
Lions Club International Foundation,Ecuador
Management Sciences for Health (MSH),Ecuador
MAP International,Ecuador
Oxfam America,Ecuador
Pan American Development Foundation,Ecuador
Pan American Health and Education Foundation (PAHEF),Ecuador
PCI-Media Impact,Ecuador
Perkins International,Ecuador
Physicians for Peace,Ecuador
Plan,Ecuador
Planet Aid,Ecuador
Project C.U.R.E,Ecuador
ProLiteracy Worldwide,Ecuador
Refugees International,Ecuador
ReSurge International,Ecuador
Solidarity Center,Ecuador
Stop Hunger Now,Ecuador
U.S. Committee for Refugees & Immigrants,Ecuador
Unitarian Universalist Service Committee,Ecuador
United Nations Foundation,Ecuador
World Connect,Ecuador
World Learning,Ecuador
World Vision,Ecuador
World Wildlife Fund (WWF),Ecuador
ACDI/VOCA,Egypt
Aga Khan Foundation USA,Egypt
AmeriCares,Egypt
America's Development Foundation,Egypt
Baptist World Alliance,Egypt
Brother's Brother Foundation,Egypt
CARE,Egypt
Catholic Relief Services,Egypt
CBM,Egypt
Church World Service,Egypt
Education Development Center (EDC),Egypt
Friends of ACTED,Egypt
Global Fund for Children,Egypt
Global Health Council,Egypt
GlobalGiving,Egypt
Habitat for Humanity International,Egypt
Handicap International USA,Egypt
Heart to Heart International,Egypt
International Center for Not-for-Profit Law,Egypt
International Center for Research on Women (ICRW),Egypt
International Medical Corps,Egypt
International Youth Foundation,Egypt
Islamic Relief USA,Egypt
Lions Club International Foundation,Egypt
Mercy Corps,Egypt
Operation Blessing International Relief and Development Corporation,Egypt
Pathfinder International,Egypt
Plan,Egypt
ProLiteracy Worldwide,Egypt
Save the Children,Egypt
Seva Foundation,Egypt
Solidarity Center,Egypt
Unitarian Universalist Service Committee,Egypt
Winrock International,Egypt
Adventist Development and Relief Agency International,El Salvador
American Jewish World Service,El Salvador
American Red Cross International Services,El Salvador
AmeriCares,El Salvador
Americas ReliefTeam,El Salvador
Baptist World Alliance,El Salvador
Brother's Brother Foundation,El Salvador
CARE,El Salvador
Catholic Relief Services,El Salvador
CBM,El Salvador
Concern America,El Salvador
Congressional Hunger Center,El Salvador
Development Gateway,El Salvador
Direct Relief International,El Salvador
Episcopal Relief & Development,El Salvador
Food for the Poor (FFP),El Salvador
Giving Children Hope,El Salvador
Keystone Human Services International,Azerbaijan
CBM,Afghanistan
CBM,Angola
Global Health Council,El Salvador
GlobalGiving,El Salvador
Habitat for Humanity International,El Salvador
Heart to Heart International,El Salvador
International Youth Foundation,El Salvador
IntraHealth International Inc.,El Salvador
Lions Club International Foundation,El Salvador
Lutheran World Relief (LWR),El Salvador
Management Sciences for Health (MSH),El Salvador
Medical Teams International,El Salvador
Operation Blessing International Relief and Development Corporation,El Salvador
Oxfam America,El Salvador
Pact,El Salvador
Perkins International,El Salvador
Physicians for Human Rights,El Salvador
Physicians for Peace,El Salvador
Plan,El Salvador
Project C.U.R.E,El Salvador
ProLiteracy Worldwide,El Salvador
Save the Children,El Salvador
Solidarity Center,El Salvador
Stop Hunger Now,El Salvador
Taiwan Buddhist Tzu Chi Foundation,El Salvador
Unitarian Universalist Service Committee,El Salvador
United Nations Foundation,El Salvador
Winrock International,El Salvador
World Connect,El Salvador
World Vision,El Salvador
Adventist Development and Relief Agency International,Equatorial Guinea
Lions Club International Foundation,Equatorial Guinea
Management Sciences for Health (MSH),Equatorial Guinea
Medical Care Development,Equatorial Guinea
Project C.U.R.E,Equatorial Guinea
World Wildlife Fund (WWF),Equatorial Guinea
African Medical & Research Foundation,Eritrea
AmeriCares,Eritrea
Catholic Relief Services,Eritrea
Global Health Council,Eritrea
Life for Relief and Development,Eritrea
Project C.U.R.E,Eritrea
Stop Hunger Now,Eritrea
American Jewish Joint Distribution Committee,Estonia
Baptist World Alliance,Estonia
Direct Relief International,Estonia
Global Health Council,Estonia
Heifer International,Estonia
International Center for Not-for-Profit Law,Estonia
Lions Club International Foundation,Estonia
Perkins International,Estonia
Project C.U.R.E,Estonia
ACDI/VOCA,Ethiopia
Action Against Hunger | ACF International,Ethiopia
ActionAid International USA,Ethiopia
Adventist Development and Relief Agency International,Ethiopia
African Medical & Research Foundation,Ethiopia
American Jewish Joint Distribution Committee,Ethiopia
American Jewish World Service,Ethiopia
American Red Cross International Services,Ethiopia
AmeriCares,Ethiopia
America's Development Foundation,Ethiopia
Baptist World Alliance,Ethiopia
Bethany Christian Service International,Ethiopia
Management Sciences for Health (MSH),Azerbaijan
Brother's Brother Foundation,Ethiopia
CARE,Ethiopia
Catholic Relief Services,Ethiopia
CHF International,Ethiopia
ChildFund International,Ethiopia
Christian Reformed World Relief Committee,Ethiopia
CHF International,Afghanistan
CHF International,Armenia
Church World Service,Ethiopia
CONCERN Worldwide,Ethiopia
Congressional Hunger Center,Ethiopia
Counterpart International,Ethiopia
Development Gateway,Ethiopia
Direct Relief International,Ethiopia
Ethiopian Community Development Council,Ethiopia
Global Fund for Children,Ethiopia
Global Health Council,Ethiopia
GlobalGiving,Ethiopia
Habitat for Humanity International,Ethiopia
Handicap International USA,Ethiopia
Heart to Heart International,Ethiopia
Heartland Alliance,Ethiopia
HelpAge USA,Ethiopia
Helping Hand for Relief and Development,Ethiopia
Holt International Children's Services,Ethiopia
Information Management and Mine Action Programs (IMMAP),Ethiopia
International Center for Not-for-Profit Law,Ethiopia
International Center for Research on Women (ICRW),Ethiopia
International Medical Corps,Ethiopia
International Medical Health Organization (IMHO),Ethiopia
International Orthodox Christian Charities (IOCC),Ethiopia
International Relief & Development,Ethiopia
ChildFund International,Afghanistan
ChildFund International,Angola
International Rescue Committee (IRC),Ethiopia
IntraHealth International Inc.,Ethiopia
Islamic Relief USA,Ethiopia
Jesuit Refugee Service,Ethiopia
Jhpiego,Ethiopia
Latter-day Saint Charities,Ethiopia
Life for Relief and Development,Ethiopia
Lions Club International Foundation,Ethiopia
Management Sciences for Health (MSH),Ethiopia
Medical Care Development,Ethiopia
Medical Emergency Relief International (Merlin),Ethiopia
Medical Teams International,Ethiopia
Mercy Corps,Ethiopia
Millennium Promise,Ethiopia
Oxfam America,Ethiopia
Pact,Ethiopia
PATH,Ethiopia
Pathfinder International,Ethiopia
PCI (Project Concern International),Ethiopia
Physicians for Peace,Ethiopia
Plan,Ethiopia
Population Action International,Ethiopia
Project C.U.R.E,Ethiopia
ProLiteracy Worldwide,Ethiopia
Save the Children,Ethiopia
Solar Cookers International,Ethiopia
Stop Hunger Now,Ethiopia
Taiwan Buddhist Tzu Chi Foundation,Ethiopia
The Hunger Project,Ethiopia
Christian Blind Mission (CBM),Angola
Christian Reformed World Relief Committee,Afghanistan
U.S. Committee for Refugees & Immigrants,Ethiopia
United Nations Foundation,Ethiopia
Water Aid America,Ethiopia
Winrock International,Ethiopia
World Learning,Ethiopia
World Vision,Ethiopia
Adventist Development and Relief Agency International,Fiji
American Red Cross International Services,Fiji
Baptist World Alliance,Fiji
Direct Relief International,Fiji
GlobalGiving,Fiji
Habitat for Humanity International,Fiji
Heart to Heart International,Fiji
International Center for Not-for-Profit Law,Fiji
Lions Club International Foundation,Fiji
Project C.U.R.E,Fiji
Adventist Development and Relief Agency International,Finland
Baptist World Alliance,Finland
International Youth Foundation,Finland
Lions Club International Foundation,Finland
United Nations Foundation,Finland
ActionAid International USA,France
Adventist Development and Relief Agency International,France
American Red Cross International Services,France
Baptist World Alliance,France
Global Health Council,France
Habitat for Humanity International,France
International Social Service - United States of America Branch Inc.,France
Jesuit Refugee Service,France
Lions Club International Foundation,France
ONE Campaign,France
Taiwan Buddhist Tzu Chi Foundation,France
United Nations Foundation,France
United Way Worldwide,France
GlobalGiving,Gabon
Lions Club International Foundation,Gabon
PATH,Azerbaijan
Church World Service,Afghanistan
Church World Service,Argentina
Medical Teams International,Gabon
PATH,Gabon
Project C.U.R.E,Gabon
Winrock International,Gabon
World Wildlife Fund (WWF),Gabon
Action Against Hunger | ACF International,Georgia
Adventist Development and Relief Agency International,Georgia
American Jewish Joint Distribution Committee,Georgia
Baptist World Alliance,Georgia
Brother's Brother Foundation,Georgia
CARE,Georgia
CHF International,Georgia
Church World Service,Georgia
Counterpart International,Georgia
Giving Children Hope,Georgia
Global Fund for Children,Georgia
Global Health Council,Georgia
GlobalGiving,Georgia
Heart to Heart International,Georgia
Heifer International,Georgia
Information Management and Mine Action Programs (IMMAP),Georgia
International Center for Not-for-Profit Law,Georgia
International Foundation for Electoral Systems (IFES),Georgia
International Orthodox Christian Charities (IOCC),Georgia
International Relief & Development,Georgia
Lions Club International Foundation,Georgia
Management Sciences for Health (MSH),Georgia
Mercy Corps,Georgia
PATH,Georgia
Project C.U.R.E,Georgia
Save the Children,Georgia
Solidarity Center,Georgia
Stop Hunger Now,Georgia
United Methodist Committee on Relief,Georgia
Winrock International,Georgia
World Learning,Georgia
World Vision,Georgia
Adventist Development and Relief Agency International,Germany
American Jewish Joint Distribution Committee,Germany
Project C.U.R.E,Azerbaijan
Baptist World Alliance,Germany
Global Health Council,Germany
Habitat for Humanity International,Germany
Handicap International USA,Germany
International Social Service - United States of America Branch Inc.,Germany
International Youth Foundation,Germany
Jesuit Refugee Service,Germany
CONCERN Worldwide,Afghanistan
CONCERN Worldwide,Angola
Lions Club International Foundation,Germany
ONE Campaign,Germany
Population Action International,Germany
Society for International Development (SID),Germany
Stop Hunger Now,Germany
The Hunger Project,Germany
United Nations Foundation,Germany
World Society for the Protection of Animals,Germany
ACDI/VOCA,Ghana
ActionAid International USA,Ghana
African Medical & Research Foundation,Ghana
Africare,Ghana
American Jewish World Service,Ghana
American Red Cross International Services,Ghana
AmeriCares,Ghana
Ananda Marga Universal Relief Team,Ghana
Baptist World Alliance,Ghana
Brother's Brother Foundation,Ghana
CARE,Ghana
Catholic Relief Services,Ghana
CBM,Ghana
CHF International,Ghana
Church World Service,Ghana
Congressional Hunger Center,Ghana
Direct Relief International,Ghana
Education Development Center (EDC),Ghana
Relief International,Azerbaijan
Episcopal Relief & Development,Ghana
Freedom from Hunger,Ghana
Giving Children Hope,Ghana
Global Fund for Children,Ghana
Global Health Council,Ghana
GlobalGiving,Ghana
Habitat for Humanity International,Ghana
Heart to Heart International,Ghana
Heifer International,Ghana
HelpAge USA,Ghana
Helping Hand for Relief and Development,Ghana
Islamic Relief USA,Ghana
Jhpiego,Ghana
Life for Relief and Development,Ghana
Lions Club International Foundation,Ghana
Management Sciences for Health (MSH),Ghana
MAP International,Ghana
Medical Care Development,Ghana
Millennium Promise,Ghana
Operation Blessing International Relief and Development Corporation,Ghana
Counterpart International,Afghanistan
Counterpart International,Armenia
Save the Children,Azerbaijan
Oxfam America,Ghana
PATH,Ghana
Pathfinder International,Ghana
PCI-Media Impact,Ghana
Perkins International,Ghana
Physicians for Peace,Ghana
Plan,Ghana
Project C.U.R.E,Ghana
ProLiteracy Worldwide,Ghana
Relief International,Ghana
ReSurge International,Ghana
Save the Children,Ghana
Society for International Development (SID),Ghana
Stop Hunger Now,Ghana
The Global FoodBanking Network (GFN),Ghana
The Hunger Project,Ghana
United Nations Foundation,Ghana
United Way Worldwide,Ghana
Water Aid America,Ghana
Winrock International,Ghana
World Vision,Ghana
Development Gateway,Australia
ActionAid International USA,Greece
Global Health Council,Greece
International Catholic Migration Commission (ICMC),Greece
International Orthodox Christian Charities (IOCC),Greece
International Social Service - United States of America Branch Inc.,Greece
Lions Club International Foundation,Greece
Perkins International,Greece
Project C.U.R.E,Greece
Lions Club International Foundation,Greenland
AmeriCares,Grenada
Americas ReliefTeam,Grenada
Brother's Brother Foundation,Grenada
Catholic Relief Services,Grenada
Direct Relief International,Grenada
Food for the Poor (FFP),Grenada
International Youth Foundation,Grenada
Management Sciences for Health (MSH),Grenada
Pan American Health and Education Foundation (PAHEF),Grenada
PCI-Media Impact,Grenada
Project C.U.R.E,Grenada
Habitat for Humanity International,Guam
Action Against Hunger | ACF International,Guatemala
ActionAid International USA,Guatemala
American Friends Service Committee,Guatemala
American Jewish World Service,Guatemala
American Red Cross International Services,Guatemala
AmeriCares,Guatemala
America's Development Foundation,Guatemala
Americas ReliefTeam,Guatemala
Baptist World Alliance,Guatemala
Bethany Christian Service International,Guatemala
Brother's Brother Foundation,Guatemala
Direct Relief International,Afghanistan
CARE,Guatemala
Catholic Relief Services,Guatemala
CBM,Guatemala
ChildFund International,Guatemala
Christian Reformed World Relief Committee,Guatemala
Church World Service,Guatemala
Concern America,Guatemala
Congressional Hunger Center,Guatemala
Counterpart International,Guatemala
Direct Relief International,Guatemala
Episcopal Relief & Development,Guatemala
Family Care International,Guatemala
Food for the Poor (FFP),Guatemala
Freedom from Hunger,Guatemala
Global Fund for Children,Guatemala
Global Health Council,Guatemala
Global Links,Guatemala
GlobalGiving,Guatemala
Habitat for Humanity International,Guatemala
Heart to Heart International,Guatemala
Heartland Alliance,Guatemala
Heifer International,Guatemala
Holt International Children's Services,Guatemala
International Foundation for Electoral Systems (IFES),Guatemala
International Youth Foundation,Guatemala
IntraHealth International Inc.,Guatemala
Jhpiego,Guatemala
Lions Club International Foundation,Guatemala
Management Sciences for Health (MSH),Guatemala
Medical Teams International,Guatemala
Mercy Corps,Guatemala
Operation Blessing International Relief and Development Corporation,Guatemala
Outreach International,Guatemala
Oxfam America,Guatemala
Pact,Guatemala
Pan American Health and Education Foundation (PAHEF),Guatemala
PATH,Guatemala
Pathfinder International,Guatemala
PCI (Project Concern International),Guatemala
Perkins International,Guatemala
Physicians for Human Rights,Guatemala
Physicians for Peace,Guatemala
Plan,Guatemala
Project C.U.R.E,Guatemala
Save the Children,Guatemala
Seva Foundation,Guatemala
Solidarity Center,Guatemala
Stop Hunger Now,Guatemala
Taiwan Buddhist Tzu Chi Foundation,Guatemala
The Global FoodBanking Network (GFN),Guatemala
Trickle Up Program,Guatemala
Unitarian Universalist Service Committee,Guatemala
United Way Worldwide,Guatemala
World Hope International,Guatemala
World Neighbors,Guatemala
World Vision,Guatemala
World Wildlife Fund (WWF),Guatemala
Stop Hunger Now,Azerbaijan
Action Against Hunger | ACF International,Guinea
African Medical & Research Foundation,Guinea
American Red Cross International Services,Guinea
AmeriCares,Guinea
Brother's Brother Foundation,Guinea
Catholic Relief Services,Guinea
Easter Seals,Australia
ChildFund International,Guinea
Episcopal Relief & Development,Guinea
Education Development Center (EDC),Afghanistan
Global Health Council,Guinea
GlobalGiving,Guinea
Helen Keller International,Guinea
International Foundation for Electoral Systems (IFES),Guinea
International Rescue Committee (IRC),Guinea
Jhpiego,Guinea
Lions Club International Foundation,Guinea
Management Sciences for Health (MSH),Guinea
Medical Teams International,Guinea
Plan,Guinea
Project C.U.R.E,Guinea
Relief International,Guinea
Save the Children,Guinea
Solidarity Center,Guinea
Stop Hunger Now,Guinea
ActionAid International USA,Guinea-Bissau
Adventist Development and Relief Agency International,Guinea-Bissau
AmeriCares,Guinea-Bissau
Catholic Relief Services,Guinea-Bissau
CBM,Guinea-Bissau
Development Gateway,Guinea-Bissau
GlobalGiving,Guinea-Bissau
International Relief & Development,Guinea-Bissau
Management Sciences for Health (MSH),Guinea-Bissau
Oxfam America,Guinea-Bissau
Plan,Guinea-Bissau
Planet Aid,Guinea-Bissau
Project C.U.R.E,Guinea-Bissau
Taiwan Buddhist Tzu Chi Foundation,Guinea-Bissau
United Nations Foundation,Guinea-Bissau
Winrock International,Guinea-Bissau
Adventist Development and Relief Agency International,Guyana
American Red Cross International Services,Guyana
Episcopal Relief & Development,Afghanistan
Episcopal Relief & Development,Angola
AmeriCares,Guyana
Americas ReliefTeam,Guyana
Baptist World Alliance,Guyana
Brother's Brother Foundation,Guyana
Catholic Relief Services,Guyana
Direct Relief International,Guyana
Food for the Poor (FFP),Guyana
Global Health Council,Guyana
Global Links,Guyana
GlobalGiving,Guyana
Habitat for Humanity International,Guyana
Heart to Heart International,Guyana
Jhpiego,Guyana
Lions Club International Foundation,Guyana
Management Sciences for Health (MSH),Guyana
Project C.U.R.E,Guyana
Winrock International,Guyana
World Wildlife Fund (WWF),Guyana
ACDI/VOCA,Haiti
Action Against Hunger | ACF International,Haiti
ActionAid International USA,Haiti
Adventist Development and Relief Agency International,Haiti
African Methodist Episcopal Service and Development Agency,Haiti
All Hands Volunteers,Haiti
American Friends Service Committee,Haiti
American Jewish World Service,Haiti
American Red Cross International Services,Haiti
AmeriCares,Haiti
America's Development Foundation,Haiti
Americas ReliefTeam,Haiti
Ananda Marga Universal Relief Team,Haiti
Baptist World Alliance,Haiti
Bethany Christian Service International,Haiti
BRAC USA,Haiti
Brother's Brother Foundation,Haiti
CARE,Haiti
Catholic Relief Services,Haiti
Taiwan Buddhist Tzu Chi Foundation,Azerbaijan
CBM,Haiti
CHF International,Haiti
Family Care International,Argentina
Christian Reformed World Relief Committee,Haiti
Church World Service,Haiti
CONCERN Worldwide,Haiti
Congressional Hunger Center,Haiti
Development Gateway,Haiti
Direct Relief International,Haiti
Education Development Center (EDC),Haiti
Episcopal Relief & Development,Haiti
Food for the Poor (FFP),Haiti
Freedom from Hunger,Haiti
Friends of ACTED,Haiti
Giving Children Hope,Haiti
Global Fund for Children,Haiti
Global Health Council,Haiti
Global Links,Haiti
Food for the Poor (FFP),Antigua and Barbuda
GlobalGiving,Haiti
Habitat for Humanity International,Haiti
Handicap International USA,Haiti
Heart to Heart International,Haiti
Heartland Alliance,Haiti
Heifer International,Haiti
HelpAge USA,Haiti
Holt International Children's Services,Haiti
Humane Society International (HSI),Haiti
IMA World Health,Haiti
Information Management and Mine Action Programs (IMMAP),Haiti
International Foundation for Electoral Systems (IFES),Haiti
International Medical Corps,Haiti
International Medical Health Organization (IMHO),Haiti
International Relief & Development,Haiti
International Relief Teams,Haiti
International Rescue Committee (IRC),Haiti
International Youth Foundation,Haiti
Jesuit Refugee Service,Haiti
Jhpiego,Haiti
Latter-day Saint Charities,Haiti
Life for Relief and Development,Haiti
Lions Club International Foundation,Haiti
Lutheran World Relief (LWR),Haiti
Management Sciences for Health (MSH),Haiti
Medical Emergency Relief International (Merlin),Haiti
Medical Teams International,Haiti
Mercy Corps,Haiti
Operation Blessing International Relief and Development Corporation,Haiti
Operation USA,Haiti
Outreach International,Haiti
Pan American Development Foundation,Haiti
Pan American Health and Education Foundation (PAHEF),Haiti
Friends of ACTED,Afghanistan
PATH,Haiti
PCI (Project Concern International),Haiti
Physicians for Peace,Haiti
Plan,Haiti
Plant with Purpose,Haiti
Presbyterian Disaster Assistance,Haiti
Project C.U.R.E,Haiti
ProLiteracy Worldwide,Haiti
Refugees International,Haiti
Relief International,Haiti
Save the Children,Haiti
Society for International Development (SID),Haiti
Solar Cookers International,Haiti
Solidarity Center,Haiti
Stop Hunger Now,Haiti
Taiwan Buddhist Tzu Chi Foundation,Haiti
U.S. Committee for Refugees & Immigrants,Haiti
Unitarian Universalist Service Committee,Haiti
United Methodist Committee on Relief,Haiti
Winrock International,Haiti
World Concern,Haiti
World Connect,Haiti
World Neighbors,Haiti
World Relief,Haiti
World Vision,Haiti
Lions Club International Foundation,Holy See
Action Against Hunger | ACF International,Honduras
Adventist Development and Relief Agency International,Honduras
American Jewish World Service,Honduras
American Red Cross International Services,Honduras
World Hope International,Azerbaijan
AmeriCares,Honduras
Giving Children Hope,Afghanistan
Giving Children Hope,Algeria
Giving Children Hope,Armenia
Giving Children Hope,Australia
Americas ReliefTeam,Honduras
Amigos de las Americas,Honduras
Baptist World Alliance,Honduras
Brother's Brother Foundation,Honduras
CARE,Honduras
Catholic Relief Services,Honduras
CBM,Honduras
CHF International,Honduras
ChildFund International,Honduras
Christian Reformed World Relief Committee,Honduras
Church World Service,Honduras
Direct Relief International,Honduras
Education Development Center (EDC),Honduras
Episcopal Relief & Development,Honduras
Family Care International,Honduras
Food for the Poor (FFP),Honduras
Freedom from Hunger,Honduras
Giving Children Hope,Honduras
Global Health Council,Honduras
Global Links,Honduras
GlobalGiving,Honduras
Habitat for Humanity International,Honduras
Handicap International USA,Honduras
Heart to Heart International,Honduras
Heifer International,Honduras
International Center for Not-for-Profit Law,Honduras
International Youth Foundation,Honduras
Jhpiego,Honduras
Lions Club International Foundation,Honduras
Lutheran World Relief (LWR),Honduras
Management Sciences for Health (MSH),Honduras
MAP International,Honduras
Medical Teams International,Honduras
Mercy Corps,Honduras
Operation Blessing International Relief and Development Corporation,Honduras
Oxfam America,Honduras
Pact,Honduras
PATH,Honduras
Physicians for Peace,Honduras
Plan,Honduras
Project C.U.R.E,Honduras
ProLiteracy Worldwide,Honduras
Save the Children,Honduras
Solidarity Center,Honduras
Stop Hunger Now,Honduras
Taiwan Buddhist Tzu Chi Foundation,Honduras
Unitarian Universalist Service Committee,Honduras
United Way Worldwide,Honduras
Winrock International,Honduras
World Vision,Honduras
World Wildlife Fund (WWF),Honduras
World Vision,Azerbaijan
Global Fund for Children,Afghanistan
Bethany Christian Service International,Hong Kong
Lions Club International Foundation,Hong Kong
Adventist Development and Relief Agency International,Hungary
American Jewish Joint Distribution Committee,Hungary
Baptist World Alliance,Hungary
Global Fund for Children,Hungary
GlobalGiving,Hungary
Habitat for Humanity International,Hungary
International Center for Not-for-Profit Law,Hungary
International Youth Foundation,Hungary
Lions Club International Foundation,Hungary
Perkins International,Hungary
Project C.U.R.E,Hungary
United Way Worldwide,Hungary
Lions Club International Foundation,Iceland
Action Against Hunger | ACF International,India
ActionAid International USA,India
Adventist Development and Relief Agency International,India
Aga Khan Foundation USA,India
American Jewish Joint Distribution Committee,India
American Jewish World Service,India
American Red Cross International Services,India
AmeriCares,India
Ananda Marga Universal Relief Team,India
Baptist World Alliance,India
Brother's Brother Foundation,India
CARE,India
Catholic Relief Services,India
CBM,India
Centre for Development and Population Activities,India
CHF International,India
ChildFund International,India
Christian Reformed World Relief Committee,India
CONCERN Worldwide,India
Counterpart International,India
Direct Relief International,India
Education Development Center (EDC),India
Episcopal Relief & Development,India
Friends of ACTED,India
Giving Children Hope,India
Global Fund for Children,India
Global Health Council,India
GlobalGiving,India
Habitat for Humanity International,India
Handicap International USA,India
Heifer International,India
HelpAge USA,India
Helping Hand for Relief and Development,India
Holt International Children's Services,India
Humane Society International (HSI),India
Global Health Council,Afghanistan
Global Health Council,Albania
Global Health Council,Angola
Global Health Council,Antigua and Barbuda
Global Health Council,Argentina
Global Health Council,Armenia
Global Health Council,Australia
IMA World Health,India
International Center for Not-for-Profit Law,India
International Center for Research on Women (ICRW),India
International Foundation for Electoral Systems (IFES),India
International Medical Health Organization (IMHO),India
International Youth Foundation,India
IntraHealth International Inc.,India
Islamic Relief USA,India
Jesuit Refugee Service,India
Jhpiego,India
Lions Club International Foundation,India
Lutheran World Relief (LWR),India
Management Sciences for Health (MSH),India
Mercy Corps,India
Mercy USA for Aid and Development,India
Operation USA,India
Outreach International,India
PATH,India
Pathfinder International,India
PCI (Project Concern International),India
Perkins International,India
Physicians for Peace,India
Plan,India
Planet Aid,India
Presbyterian Disaster Assistance,India
Project C.U.R.E,India
ProLiteracy Worldwide,India
ReSurge International,India
Save the Children,India
Seva Foundation,India
