ID,ISO,Country,Member Organization,Number of Active Organizations:
106,SLV,El Salvador,"Adventist Development and Relief Agency International, American Jewish Joint Distribution Committee, American Jewish World Service, American Red Cross International Services, AmeriCares, Americas ReliefTeam, Baptist World Alliance, Brother's Brother Foundation, CARE, Catholic Relief Services, CBM, Concern America, Development Gateway, Direct Relief International, Episcopal Relief & Development, Food for the Poor (FFP), Giving Children Hope, Global Health Council, GlobalGiving, Habitat for Humanity International, Heart to Heart International, International Youth Foundation, IntraHealth International Inc., Lions Club International Foundation, Lutheran World Relief (LWR), Management Sciences for Health (MSH), Medical Teams International, National Cooperative Business Association (NCBA), Operation Blessing International Relief and Development Corporation, Oxfam America, Pact, Perkins International, Physicians for Peace, Plan, Project C.U.R.E, ProLiteracy Worldwide, Save the Children, Solidarity Center, Stop Hunger Now, Taiwan Buddhist Tzu Chi Foundation, Unitarian Universalist Service Committee, United Nations Foundation, Winrock International, World Connect, World Food Program USA (WFP USA), World Vision",
108,GNQ,Equatorial Guinea,"Adventist Development and Relief Agency International, Lions Club International Foundation, Management Sciences for Health (MSH), Medical Care Development, Project C.U.R.E, World Wildlife Fund (WWF)",
109,ERI,Eritrea,"African Medical & Research Foundation, American Red Cross International Services, AmeriCares, Catholic Relief Services, Global Health Council, Life for Relief and Development, Project C.U.R.E, Stop Hunger Now",
110,EST,Estonia,"American Jewish Joint Distribution Committee, Baptist World Alliance, Direct Relief International, Global Health Council, Heifer International, International Center for Not-for-Profit Law, Lions Club International Foundation, Perkins International, Project C.U.R.E",
26,ETH,Ethiopia,"ACDI/VOCA, Action Against Hunger | ACF International, ActionAid International USA, Adventist Development and Relief Agency International, African Medical & Research Foundation, American Jewish Joint Distribution Committee, American Jewish World Service, American Red Cross International Services, AmeriCares, America's Development Foundation, Baptist World Alliance, Bethany Christian Service International, Brother's Brother Foundation, CARE, Catholic Relief Services, CHF International, ChildFund International, Christian Reformed World Relief Committee, Church World Service, CONCERN Worldwide, Counterpart International, Development Gateway, Direct Relief International, Ethiopian Community Development Council, Family Care International, Global Fund for Children, Global Health Council, GlobalGiving, Habitat for Humanity International, Handicap International USA, Heart to Heart International, Heartland Alliance, HelpAge USA, Helping Hand for Relief and Development, Holt International Children's Services, Information Management and Mine Action Programs (IMMAP), International Center for Not-for-Profit Law, International Center for Research on Women (ICRW), International Medical Corps, International Medical Health Organization (IMHO), International Orthodox Christian Charities (IOCC), International Relief & Development, International Relief Teams, International Rescue Committee (IRC), IntraHealth International Inc., Islamic Relief USA, Jesuit Refugee Service, Jhpiego, Joint Council on International Children’s Services, Latter-day Saint Charities, Life for Relief and Development, Lions Club International Foundation, Management Sciences for Health (MSH), Medical Care Development, Medical Emergency Relief International (Merlin), Medical Teams International, Mercy Corps, Millennium Water Alliance, National Cooperative Business Association (NCBA), Oxfam America, Pact, PATH, Pathfinder International, PCI, Perkins International, Plan, Population Action International, Project C.U.R.E, ProLiteracy Worldwide, Refugees International, Save the Children, Solar Cookers International, Stop Hunger Now, Taiwan Buddhist Tzu Chi Foundation, The Hunger Project, U.S. Committee for Refugees & Immigrants, United Nations Foundation, Water Aid America, Winrock International, World Food Program USA (WFP USA), World Learning, World Vision",
111,FJI,Fiji,"Adventist Development and Relief Agency International, American Red Cross International Services, Baptist World Alliance, Direct Relief International, GlobalGiving, Habitat for Humanity International, Heart to Heart International, International Center for Not-for-Profit Law, Lions Club International Foundation, Project C.U.R.E",
112,FIN,Finland,"Adventist Development and Relief Agency International, Baptist World Alliance, International Youth Foundation, Lions Club International Foundation, United Nations Foundation",
62,FRA,France,"ActionAid International USA, Adventist Development and Relief Agency International, American Red Cross International Services, Baptist World Alliance, Global Health Council, GlobalGiving, Habitat for Humanity International, International Social Service - United States of America Branch Inc., Jesuit Refugee Service, Lions Club International Foundation, ONE Campaign, Taiwan Buddhist Tzu Chi Foundation, United Nations Foundation",
113,GAB,Gabon,"GlobalGiving, Lions Club International Foundation, Medical Teams International, PATH, Project C.U.R.E, Winrock International, World Wildlife Fund (WWF)",
27,GEO,Georgia,"Action Against Hunger | ACF International, Adventist Development and Relief Agency International, American Jewish Joint Distribution Committee, Baptist World Alliance, Brother's Brother Foundation, CARE, CHF International, Church World Service, Counterpart International, Giving Children Hope, Global Fund for Children, Global Health Council, Heart to Heart International, Heifer International, Information Management and Mine Action Programs (IMMAP), International Center for Not-for-Profit Law, International Foundation for Electoral Systems (IFES), International Orthodox Christian Charities (IOCC), International Relief & Development, Lions Club International Foundation, Management Sciences for Health (MSH), Mercy Corps, PATH, Project C.U.R.E, Save the Children, Solidarity Center, Stop Hunger Now, United Methodist Committee on Relief, Winrock International, World Food Program USA (WFP USA), World Vision",
115,DEU,Germany,"Adventist Development and Relief Agency International, American Jewish Joint Distribution Committee, Baptist World Alliance, Global Health Council, Habitat for Humanity International, Handicap International USA, International Social Service - United States of America Branch Inc., International Youth Foundation, Jesuit Refugee Service, Lions Club International Foundation, ONE Campaign, Population Action International, Society for International Development (SID), Stop Hunger Now, The Hunger Project, United Nations Foundation, World Society for the Protection of Animals",
63,GHA,Ghana,"ACDI/VOCA, ActionAid International USA, African Medical & Research Foundation, Africare, Alliance to End Hunger, American Jewish Joint Distribution Committee, American Jewish World Service, American Red Cross International Services, AmeriCares, Ananda Marga Universal Relief Team, Baptist World Alliance, Brother's Brother Foundation, CARE, Catholic Relief Services, CBM, CHF International, Church World Service, Direct Relief International, Education Development Center (EDC), Episcopal Relief & Development, Freedom from Hunger, Giving Children Hope, Global Fund for Children, Global Health Council, GlobalGiving, Habitat for Humanity International, Heart to Heart International, Heifer International, HelpAge USA, Helping Hand for Relief and Development, IntraHealth International Inc., Jhpiego, Life for Relief and Development, Lions Club International Foundation, Management Sciences for Health (MSH), MAP International, Medical Care Development, Operation Blessing International Relief and Development Corporation, Oxfam America, PATH, Pathfinder International, Perkins International, Plan, Project C.U.R.E, ProLiteracy Worldwide, Relief International, ReSurge International, Save the Children, Society for International Development (SID), Stop Hunger Now, The Global FoodBanking Network (GFN), The Hunger Project, United Nations Foundation, Water Aid America, Winrock International, World Food Program USA (WFP USA), World Vision",
64,GRC,Greece,"ActionAid International USA, Global Health Council, International Catholic Migration Commission (ICMC), International Orthodox Christian Charities (IOCC), International Social Service - United States of America Branch Inc., Lions Club International Foundation, Perkins International, Project C.U.R.E",
206,GRL,Greenland,Lions Club International Foundation,
116,GRD,Grenada,"AmeriCares, Americas ReliefTeam, Brother's Brother Foundation, Catholic Relief Services, Direct Relief International, Food for the Poor (FFP), International Youth Foundation, Management Sciences for Health (MSH), Pan American Health and Education Foundation (PAHEF), Project C.U.R.E",
202,GUM,Guam,Habitat for Humanity International,
28,GTM,Guatemala,"Action Against Hunger | ACF International, ActionAid International USA, American Friends Service Committee, American Jewish Joint Distribution Committee, American Jewish World Service, American Red Cross International Services, AmeriCares, America's Development Foundation, Americas ReliefTeam, Baptist World Alliance, Bethany Christian Service International, Brother's Brother Foundation, CARE, Catholic Relief Services, CBM, ChildFund International, Christian Reformed World Relief Committee, Church World Service, Concern America, Counterpart International, Direct Relief International, Episcopal Relief & Development, Family Care International, Food for the Poor (FFP), Freedom from Hunger, Global Fund for Children, Global Health Council, Global Links, GlobalGiving, Habitat for Humanity International, Heart to Heart International, Heartland Alliance, Heifer International, Holt International Children's Services, International Foundation for Electoral Systems (IFES), International Relief Teams, International Youth Foundation, IntraHealth International Inc., Jhpiego, Joint Council on International Children’s Services, Lions Club International Foundation, Management Sciences for Health (MSH), Medical Teams International, Mercy Corps, Millennium Water Alliance, National Cooperative Business Association (NCBA), Operation Blessing International Relief and Development Corporation, Outreach International, Oxfam America, Pact, Pan American Health and Education Foundation (PAHEF), PATH, Pathfinder International, PCI, Perkins International, Physicians for Peace, Plan, Project C.U.R.E, Save the Children, Seva Foundation, Solidarity Center, Stop Hunger Now, Taiwan Buddhist Tzu Chi Foundation, The Global FoodBanking Network (GFN), Trickle Up Program, Unitarian Universalist Service Committee, Winrock International, World Food Program USA (WFP USA), World Neighbors, World Vision, World Wildlife Fund (WWF)",
29,GIN,Guinea,"Action Against Hunger | ACF International, African Medical & Research Foundation, American Red Cross International Services, AmeriCares, Brother's Brother Foundation, Catholic Relief Services, ChildFund International, Episcopal Relief & Development, Global Health Council, Helen Keller International, International Foundation for Electoral Systems (IFES), International Rescue Committee (IRC), IntraHealth International Inc., Jhpiego, Lions Club International Foundation, Management Sciences for Health (MSH), Medical Teams International, Millennium Water Alliance, Plan, Project C.U.R.E, Relief International, Save the Children, Solidarity Center, Stop Hunger Now, World Food Program USA (WFP USA)",
65,GNB,Guinea-Bissau,"ActionAid International USA, Adventist Development and Relief Agency International, American Red Cross International Services, AmeriCares, Catholic Relief Services, CBM, Development Gateway, Management Sciences for Health (MSH), Oxfam America, Plan, Planet Aid, Project C.U.R.E, Taiwan Buddhist Tzu Chi Foundation, United Nations Foundation, Winrock International, World Food Program USA (WFP USA)",
117,GUY,Guyana,"Adventist Development and Relief Agency International, American Red Cross International Services, AmeriCares, Americas ReliefTeam, Baptist World Alliance, Brother's Brother Foundation, Catholic Relief Services, Direct Relief International, Food for the Poor (FFP), Global Health Council, Global Links, GlobalGiving, Habitat for Humanity International, Heart to Heart International, Jhpiego, Lions Club International Foundation, Management Sciences for Health (MSH), Project C.U.R.E, Winrock International, World Wildlife Fund (WWF)",
30,HTI,Haiti,"ACDI/VOCA, Action Against Hunger | ACF International, ActionAid International USA, Adventist Development and Relief Agency International, African Methodist Episcopal Service and Development Agency, All Hands Volunteers, American Friends Service Committee, American Jewish Joint Distribution Committee, American Jewish World Service, American Red Cross International Services, AmeriCares, America's Development Foundation, Americas ReliefTeam, Ananda Marga Universal Relief Team, Baptist World Alliance, Bethany Christian Service International, BRAC USA, Brother's Brother Foundation, CARE, Catholic Relief Services, CBM, CHF International, Christian Reformed World Relief Committee, Church World Service, CONCERN Worldwide, Development Gateway, Direct Relief International, Education Development Center (EDC), Episcopal Relief & Development, Food for the Poor (FFP), Freedom from Hunger, Friends of ACTED, Giving Children Hope, Global Fund for Children, Global Health Council, Global Links, GlobalGiving, Habitat for Humanity International, Handicap International USA, Heart to Heart International, Heartland Alliance, Heifer International, HelpAge USA, Holt International Children's Services, Humane Society International (HSI), IMA World Health, Information Management and Mine Action Programs (IMMAP), International Emergency and Development Aid (IEDA Relief), International Foundation for Electoral Systems (IFES), International Medical Corps, International Medical Health Organization (IMHO), International Relief & Development, International Relief Teams, International Rescue Committee (IRC), International Youth Foundation, IntraHealth International Inc., Jesuit Refugee Service, Jhpiego, Joint Council on International Children’s Services, Latter-day Saint Charities, Life for Relief and Development, Lions Club International Foundation, Lutheran World Relief (LWR), Management Sciences for Health (MSH), Medical Emergency Relief International (Merlin), Medical Teams International, Mercy Corps, National Cooperative Business Association (NCBA), Operation Blessing International Relief and Development Corporation, Operation USA, Outreach International, Pan American Development Foundation, Pan American Health and Education Foundation (PAHEF), PATH, PCI, Perkins International, Physicians for Peace, Plan, Plant with Purpose, Presbyterian Disaster Assistance, Project C.U.R.E, ProLiteracy Worldwide, Refugees International, Relief International, Save the Children, Society for International Development (SID), Solar Cookers International, Solidarity Center, Stop Hunger Now, Taiwan Buddhist Tzu Chi Foundation, U.S. Committee for Refugees & Immigrants, Unitarian Universalist Service Committee, United Methodist Committee on Relief, World Concern, World Connect, World Food Program USA (WFP USA), World Neighbors, World Relief, World Vision",
207,VAT,Holy See,Lions Club International Foundation,
31,HND,Honduras,"Action Against Hunger | ACF International, Adventist Development and Relief Agency International, American Jewish World Service, American Red Cross International Services, AmeriCares, Americas ReliefTeam, Amigos de las Americas, Baptist World Alliance, Brother's Brother Foundation, CARE, Catholic Relief Services, CBM, CHF International, ChildFund International, Christian Reformed World Relief Committee, Church World Service, Development Gateway, Direct Relief International, Education Development Center (EDC), Episcopal Relief & Development, Family Care International, Food for the Poor (FFP), Freedom from Hunger, Giving Children Hope, Global Health Council, Global Links, GlobalGiving, Habitat for Humanity International, Handicap International USA, Heart to Heart International, Heifer International, International Center for Not-for-Profit Law, International Relief Teams, International Youth Foundation, IntraHealth International Inc., Jhpiego, Lions Club International Foundation, Lutheran World Relief (LWR), Management Sciences for Health (MSH), MAP International, Medical Teams International, Mercy Corps, Millennium Water Alliance, National Cooperative Business Association (NCBA), Operation Blessing International Relief and Development Corporation, Oxfam America, Pact, PATH, Physicians for Peace, Plan, Project C.U.R.E, ProLiteracy Worldwide, Save the Children, Solidarity Center, Stop Hunger Now, Taiwan Buddhist Tzu Chi Foundation, Unitarian Universalist Service Committee, World Food Program USA (WFP USA), World Vision, World Wildlife Fund (WWF)",
194,HKG,Hong Kong,"Bethany Christian Service International, Joint Council on International Children’s Services, Lions Club International Foundation",
118,HUN,Hungary,"Adventist Development and Relief Agency International, American Jewish Joint Distribution Committee, Baptist World Alliance, Global Fund for Children, GlobalGiving, Habitat for Humanity International, International Center for Not-for-Profit Law, International Youth Foundation, Lions Club International Foundation, Perkins International, Project C.U.R.E",
208,ISL,Iceland,Lions Club International Foundation,
32,IND,India,"Action Against Hunger | ACF International, ActionAid International USA, Adventist Development and Relief Agency International, Aga Khan Foundation USA, American Jewish Joint Distribution Committee, American Jewish World Service, American Red Cross International Services, AmeriCares, Ananda Marga Universal Relief Team, Baptist World Alliance, Bethesda Lutheran Communities, Brother's Brother Foundation, CARE, Catholic Relief Services, CBM, Centre for Development and Population Activities, CHF International, ChildFund International, Christian Reformed World Relief Committee, CONCERN Worldwide, Counterpart International, Direct Relief International, Education Development Center (EDC), Episcopal Relief & Development, Friends of ACTED, Giving Children Hope, Global Fund for Children, Global Health Council, GlobalGiving, Habitat for Humanity International, Handicap International USA, Heifer International, HelpAge USA, Helping Hand for Relief and Development, Holt International Children's Services, Humane Society International (HSI), IMA World Health, Institute for Sustainable Communities, International Center for Not-for-Profit Law, International Center for Research on Women (ICRW), International Foundation for Electoral Systems (IFES), International Medical Health Organization (IMHO), International Youth Foundation, IntraHealth International Inc., Jesuit Refugee Service, Jhpiego, Joint Council on International Children’s Services, Lions Club International Foundation, Lutheran World Relief (LWR), Management Sciences for Health (MSH), Mercy Corps, Mercy USA for Aid and Development, Outreach International, PATH, Pathfinder International, PCI, Perkins International, Physicians for Peace, Plan, Planet Aid, Presbyterian Disaster Assistance, Project C.U.R.E, ProLiteracy Worldwide, ReSurge International, Save the Children, Seva Foundation, Society for International Development (SID), Solidarity Center, Stop Hunger Now, Taiwan Buddhist Tzu Chi Foundation, The Global FoodBanking Network (GFN), The Hunger Project, Trickle Up Program, United Nations Foundation, Water Aid America, Winrock International, World Food Program USA (WFP USA), World Neighbors, World Relief, World Society for the Protection of Animals, World Vision, World Wildlife Fund (WWF)",
33,IDN,Indonesia,"Action Against Hunger | ACF International, Adventist Development and Relief Agency International, American Friends Service Committee, American Jewish Joint Distribution Committee, American Jewish World Service, American Red Cross International Services, AmeriCares, Ananda Marga Universal Relief Team, Baptist World Alliance, CARE, Catholic Relief Services, CBM, ChildFund International, Christian Reformed World Relief Committee, Church World Service, Direct Relief International, Education Development Center (EDC), Friends of ACTED, Giving Children Hope, Global Fund for Children, Global Health Council, GlobalGiving, Habitat for Humanity International, Handicap International USA, Heifer International, Helen Keller International, Helping Hand for Relief and Development, International Catholic Migration Commission (ICMC), International Center for Not-for-Profit Law, International Medical Corps, International Medical Health Organization (IMHO), International Relief & Development, International Rescue Committee (IRC), International Youth Foundation, Islamic Relief USA, Jesuit Refugee Service, Jhpiego, Joint Council on International Children’s Services, Lions Club International Foundation, Lutheran World Relief (LWR), Management Sciences for Health (MSH), MAP International, Medical Teams International, Mercy Corps, Mercy USA for Aid and Development, National Cooperative Business Association (NCBA), Operation Blessing International Relief and Development Corporation, Oxfam America, PATH, PCI, Perkins International, Plan, Presbyterian Disaster Assistance, Project C.U.R.E, ProLiteracy Worldwide, Relief International, Save the Children, Solidarity Center, Stop Hunger Now, Taiwan Buddhist Tzu Chi Foundation, United Methodist Committee on Relief, Winrock International, World Food Program USA (WFP USA), World Neighbors, World Relief, World Vision, World Wildlife Fund (WWF)",
187,IRN,Iran,"GlobalGiving, Stop Hunger Now, Taiwan Buddhist Tzu Chi Foundation, World Food Program USA (WFP USA)",
119,IRQ,Iraq,"ACDI/VOCA, Air Serv International, AmeriCares, America's Development Foundation, Brother's Brother Foundation, Campaign for Innocent Victims in Conflict, Catholic Relief Services, CBM, CHF International, Church World Service, Direct Relief International, Friends of ACTED, Giving Children Hope, GlobalGiving, Handicap International USA, Heartland Alliance, Information Management and Mine Action Programs (IMMAP), International Center for Not-for-Profit Law, International Medical Corps, International Orthodox Christian Charities (IOCC), International Relief & Development, International Rescue Committee (IRC), Islamic Relief USA, Life for Relief and Development, Lions Club International Foundation, Mercy Corps, Project C.U.R.E, ProLiteracy Worldwide, Refugees International, Relief International, Save the Children, Solidarity Center, Stop Hunger Now, Taiwan Buddhist Tzu Chi Foundation, U.S. Committee for Refugees & Immigrants, Unitarian Universalist Service Committee, USA for UNHCR, Women for Women International, World Food Program USA (WFP USA), World Learning",
66,IRL,Ireland,"ActionAid International USA, Adventist Development and Relief Agency International, Global Health Council, GlobalGiving, Habitat for Humanity International, International Youth Foundation, Jesuit Refugee Service, Lions Club International Foundation, PATH, United Nations Foundation",
120,ISR,Israel,"American Jewish Joint Distribution Committee, Baptist World Alliance, Global Health Council, GlobalGiving, Hebrew Immigrant Aid Society, International Orthodox Christian Charities (IOCC), International Rescue Committee (IRC), International Social Service - United States of America Branch Inc., International Youth Foundation, Lions Club International Foundation, One Economy Corporation, Operation Blessing International Relief and Development Corporation, Perkins International, Project C.U.R.E, Save the Children, Society for International Development (SID), Stop Hunger Now, The Global FoodBanking Network (GFN)",
67,ITA,Italy,"ActionAid International USA, Adventist Development and Relief Agency International, American Jewish Joint Distribution Committee, Baptist World Alliance, Catholic Relief Services, Global Health Council, International Social Service - United States of America Branch Inc., International Youth Foundation, Jesuit Refugee Service, Lions Club International Foundation, Save the Children, United Nations Foundation",
121,JAM,Jamaica,"ACDI/VOCA, American Red Cross International Services, AmeriCares, Americas ReliefTeam, Baptist World Alliance, Brother's Brother Foundation, Catholic Relief Services, CBM, Direct Relief International, Food for the Poor (FFP), Giving Children Hope, Global Fund for Children, Global Health Council, Global Links, GlobalGiving, Habitat for Humanity International, Heart to Heart International, HelpAge USA, INMED Partnerships for Children, International Youth Foundation, Jhpiego, Lions Club International Foundation, Outreach International, Pan American Health and Education Foundation (PAHEF), Perkins International, Project C.U.R.E, Stop Hunger Now, World Learning",
122,JPN,Japan,"Adventist Development and Relief Agency International, American Jewish Joint Distribution Committee, American Red Cross International Services, AmeriCares, Baptist World Alliance, Direct Relief International, Disability Rights Education and Defense Fund (DREDF), Giving Children Hope, Global Health Council, GlobalGiving, Habitat for Humanity International, International Medical Corps, International Social Service - United States of America Branch Inc., International Youth Foundation, Latter-day Saint Charities, Lions Club International Foundation, Management Sciences for Health (MSH), Mercy Corps, Operation Blessing International Relief and Development Corporation, Operation USA, Presbyterian Disaster Assistance, Relief International, Taiwan Buddhist Tzu Chi Foundation, The Global FoodBanking Network (GFN), The Hunger Project, U.S. Committee for Refugees & Immigrants, World Vision",
123,JOR,Jordan,"ACDI/VOCA, American Near East Refugee Aid, America's Development Foundation, Baptist World Alliance, CARE, Catholic Relief Services, CBM, CHF International, Episcopal Relief & Development, Friends of ACTED, Global Health Council, Habitat for Humanity International, Handicap International USA, Heart to Heart International, International Catholic Migration Commission (ICMC), International Center for Not-for-Profit Law, International Medical Corps, International Orthodox Christian Charities (IOCC), International Relief & Development, International Rescue Committee (IRC), International Youth Foundation, Islamic Relief USA, Jesuit Refugee Service, Life for Relief and Development, Lions Club International Foundation, Lutheran World Relief (LWR), Mercy Corps, Mobility International USA, One Economy Corporation, Pathfinder International, Project C.U.R.E, Relief International, Save the Children, Taiwan Buddhist Tzu Chi Foundation, The Global FoodBanking Network (GFN), World Vision",
204,,Kashmir,Helping Hand for Relief and Development,
124,KAZ,Kazakhstan,"Adventist Development and Relief Agency International, American Jewish Joint Distribution Committee, American Red Cross International Services, Bethesda Lutheran Communities, Global Fund for Children, Global Health Council, International Center for Not-for-Profit Law, Joint Council on International Children’s Services, Lions Club International Foundation, Management Sciences for Health (MSH), PATH, Project C.U.R.E, Save the Children, Stop Hunger Now",
35,KEN,Kenya,"ACDI/VOCA, Action Against Hunger | ACF International, ActionAid International USA, Adeso, Adventist Development and Relief Agency International, African Medical & Research Foundation, Aga Khan Foundation USA, Alliance to End Hunger, American Jewish World Service, American Red Cross International Services, AmeriCares, Ananda Marga Universal Relief Team, Baptist World Alliance, Bethesda Lutheran Communities, Brother's Brother Foundation, CARE, Catholic Relief Services, CBM, CHF International, ChildFund International, Christian Reformed World Relief Committee, Church World Service, CONCERN Worldwide, Direct Relief International, Education Development Center (EDC), Episcopal Relief & Development, Family Care International, Friends of ACTED, Giving Children Hope, Global Fund for Children, Global Health Council, GlobalGiving, Habitat for Humanity International, Handicap International USA, Heart to Heart International, Hebrew Immigrant Aid Society, Heifer International, HelpAge USA, Helping Hand for Relief and Development, IMA World Health, International Center for Not-for-Profit Law, International Center for Research on Women (ICRW), International Medical Corps, International Relief & Development, International Relief Teams, International Rescue Committee (IRC), International Youth Foundation, IntraHealth International Inc., Islamic Relief USA, Jesuit Refugee Service, Jhpiego, Life for Relief and Development, Lions Club International Foundation, Lutheran World Relief (LWR), Management Sciences for Health (MSH), MAP International, Medical Care Development, Medical Emergency Relief International (Merlin), Medical Teams International, Mercy Corps, Mercy USA for Aid and Development, Millennium Water Alliance, National Cooperative Business Association (NCBA), One Economy Corporation, Operation Blessing International Relief and Development Corporation, Operation USA, Pact, PATH, Pathfinder International, Perkins International, Plan, Presbyterian Disaster Assistance, Project C.U.R.E, ProLiteracy Worldwide, Refugees International, Religions for Peace, Save the Children, Solar Cookers International, Solidarity Center, Stop Hunger Now, U.S. Committee for Refugees & Immigrants, Unitarian Universalist Service Committee, United Nations Foundation, Winrock International, World Concern, World Connect, World Food Program USA (WFP USA), World Neighbors, World Relief, World Vision, World Wildlife Fund (WWF)",
213,KIR,Kiribati,American Red Cross International Services,
125,,Kosovo,"AmeriCares, Bethany Christian Service International, CARE, Catholic Relief Services, CHF International, Development Gateway, Education Development Center (EDC), Handicap International USA, Heifer International, Helping Hand for Relief and Development, Information Management and Mine Action Programs (IMMAP), International Center for Not-for-Profit Law, International Foundation for Electoral Systems (IFES), International Orthodox Christian Charities (IOCC), International Relief & Development, International Rescue Committee (IRC), International Youth Foundation, Islamic Relief USA, Mercy Corps, Taiwan Buddhist Tzu Chi Foundation, Women for Women International, World Learning, World Relief, World Vision",
127,KWT,Kuwait,"Global Health Council, Solidarity Center",
128,kGZ,Kyrgyzstan,"Adventist Development and Relief Agency International, Aga Khan Foundation USA, American Jewish Joint Distribution Committee, American Red Cross International Services, Baptist World Alliance, Brother's Brother Foundation, Catholic Relief Services, Counterpart International, Friends of ACTED, Global Fund for Children, Global Health Council, Habitat for Humanity International, Handicap International USA, HelpAge USA, International Center for Not-for-Profit Law, International Foundation for Electoral Systems (IFES), International Medical Corps, International Rescue Committee (IRC), International Youth Foundation, Joint Council on International Children’s Services, Management Sciences for Health (MSH), Mercy Corps, PATH, Project C.U.R.E, Save the Children, Solidarity Center, World Food Program USA (WFP USA)",
68,LAO,Laos,"ActionAid International USA, Adventist Development and Relief Agency International, American Red Cross International Services, AmeriCares, Brother's Brother Foundation, CARE, Catholic Relief Services, CBM, Christian Reformed World Relief Committee, Church World Service, CONCERN Worldwide, Development Gateway, Direct Relief International, GlobalGiving, Habitat for Humanity International, Handicap International USA, HelpAge USA, Information Management and Mine Action Programs (IMMAP), International Center for Not-for-Profit Law, International Center for Research on Women (ICRW), International Relief & Development, IntraHealth International Inc., Lions Club International Foundation, Management Sciences for Health (MSH), Operation Blessing International Relief and Development Corporation, Oxfam America, Plan, Project C.U.R.E, Save the Children, Winrock International, World Concern, World Food Program USA (WFP USA), World Vision",
129,LVA,Latvia,"American Jewish Joint Distribution Committee, Baptist World Alliance, Bethesda Lutheran Communities, Heifer International, International Center for Not-for-Profit Law, Lions Club International Foundation, Perkins International",
36,LBN,Lebanon,"ACDI/VOCA, Action Against Hunger | ACF International, American Near East Refugee Aid, AmeriCares, Catholic Relief Services, CHF International, Development Gateway, Education Development Center (EDC), Friends of ACTED, Giving Children Hope, Global Fund for Children, Global Health Council, GlobalGiving, Habitat for Humanity International, Handicap International USA, Heartland Alliance, Information Management and Mine Action Programs (IMMAP), International Catholic Migration Commission (ICMC), International Center for Not-for-Profit Law, International Medical Corps, International Orthodox Christian Charities (IOCC), International Relief & Development, International Rescue Committee (IRC), Islamic Relief USA, Life for Relief and Development, Lions Club International Foundation, Lutheran World Relief (LWR), Mercy Corps, Mercy USA for Aid and Development, Project C.U.R.E, Refugees International, Relief International, Save the Children, U.S. Committee for Refugees & Immigrants, Winrock International, World Rehabilitation Fund, World Vision",
69,LSO,Lesotho,"ActionAid International USA, African Medical & Research Foundation, CARE, Catholic Relief Services, CBM, Giving Children Hope, Global Health Council, GlobalGiving, Habitat for Humanity International, Jhpiego, Lions Club International Foundation, Management Sciences for Health (MSH), Pact, Perkins International, Project C.U.R.E, Solidarity Center, Taiwan Buddhist Tzu Chi Foundation, United Nations Foundation, Winrock International, World Food Program USA (WFP USA), World Vision",
37,LBR,Liberia,"ACDI/VOCA, Action Against Hunger | ACF International, ActionAid International USA, Adventist Development and Relief Agency International, African Medical & Research Foundation, Africare, American Jewish World Service, American Red Cross International Services, American Refugee Committee, AmeriCares, Baptist World Alliance, BRAC USA, Brother's Brother Foundation, CARE, Catholic Relief Services, CBM, CHF International, ChildFund International, Christian Reformed World Relief Committee, CONCERN Worldwide, Development Gateway, Direct Relief International, Education Development Center (EDC), Episcopal Relief & Development, Global Fund for Children, Global Health Council, GlobalGiving, Handicap International USA, Heart to Heart International, Information Management and Mine Action Programs (IMMAP), International Center for Research on Women (ICRW), International Emergency and Development Aid (IEDA Relief), International Foundation for Electoral Systems (IFES), International Relief & Development, International Rescue Committee (IRC), Jhpiego, Lions Club International Foundation, Management Sciences for Health (MSH), Medical Care Development, Medical Emergency Relief International (Merlin), Medical Teams International, Mercy Corps, PATH, PCI, Plan, Presbyterian Disaster Assistance, Project C.U.R.E, ProLiteracy Worldwide, Religions for Peace, Solidarity Center, Stop Hunger Now, Taiwan Buddhist Tzu Chi Foundation, United Nations Foundation, Winrock International, World Food Program USA (WFP USA), World Learning",
130,LBY,Libya,"AmeriCares, Campaign for Innocent Victims in Conflict, Catholic Relief Services, Friends of ACTED, GlobalGiving, International Medical Corps, International Relief & Development, Mercy Corps, Presbyterian Disaster Assistance, Refugees International, World Food Program USA (WFP USA)",
209,LIE,Liechtenstein,Lions Club International Foundation,
131,LTU,Lithuania,"American Jewish Joint Distribution Committee, Baptist World Alliance, Bethany Christian Service International, Giving Children Hope, Global Health Council, GlobalGiving, Heifer International, International Center for Not-for-Profit Law, Lions Club International Foundation, Perkins International",
188,LUX,Luxembourg,"Adventist Development and Relief Agency International, Lions Club International Foundation",
126,MKD,Macedonia,"American Jewish Joint Distribution Committee, CARE, Education Development Center (EDC), Habitat for Humanity International, Handicap International USA, Heifer International, International Center for Not-for-Profit Law, International Relief & Development, International Youth Foundation, Jesuit Refugee Service, Lions Club International Foundation, Perkins International, Project C.U.R.E, World Learning",
